Name,unique_id,Year of Work,Auction House,Session,Meeting,Sale of,Description,Product URL,Image URL,Size,Category,Period,Estimate RMB,Sold For RMB,China,T,China*T,Estimate,Size_c,weights,subclass,Stratum
Qing Yongzheng white glaze painting eight auspicious pattern high foot bowl,51,Qing Yongzheng,Sotheby's,2001 Autumn Auction - Chinese porcelain and handicrafts,Autumn Auction 2001,29/10/2001,,https://auction.artron.net/paimai-art16140122,https://image.artron.net/wd/auction//34/art/285/62c4936723250c0263ed3829b279e098.jpg,18,Bowl,Qing,84800,78864,0,0,0,84800.0,2,1.67372175980975,3,B3
Qianlong Qingqianlong Yellow Land Green Dragon Bowl,53,Qianlong of the Qing Dynasty,Sotheby's,2001 Autumn Auction - Chinese porcelain and handicrafts,Autumn Auction 2001,29/10/2001,,https://auction.artron.net/paimai-art16140142,https://image.artron.net/wd/auction//34/art/285/05521a32ec79a928a649730dcbda7e7c.jpg,10,Bowl,Qing,74200,78864,0,0,0,74200.0,1,0.859770114942528,1,B1
Qianlong Qingqianlong Yellow Land Green Dragon Bowl,58,Qianlong of the Qing Dynasty,Sotheby's,2001 Autumn Auction - Chinese porcelain and handicrafts,Autumn Auction 2001,29/10/2001,,https://auction.artron.net/paimai-art16140141,https://image.artron.net/wd/auction//34/art/285/3b289c1fed96d56a4371e03b0e39d2f4.jpg,15,Bowl,Qing,63600,82680,0,0,0,63600.0,2,1.67372175980975,3,B3
Ming Wanli Green Garden Lin Gaoshilu bowl,60,Ming Wanli,Sotheby's,2001 Autumn Auction - Chinese porcelain and handicrafts,Autumn Auction 2001,29/10/2001,,https://auction.artron.net/paimai-art16140126,https://image.artron.net/wd/auction//34/art/285/b9feb9cbf925958927e92709310254c9.jpg,17,Bowl,Ming,95400,114480,0,0,0,95400.0,2,0.0234482758620689,2,B2
Qing Jiaqing blue lotus pattern (pair) bowl,61,Qing Jiaqing,Sotheby's,2001 Autumn Auction - Chinese porcelain and handicrafts,Autumn Auction 2001,29/10/2001,,https://auction.artron.net/paimai-art16140147,https://image.artron.net/wd/auction//34/art/285/1ead173e45bc42b7fc9bfc148f896335.jpg,10,Bowl,Qing,63600,63600,0,0,0,63600.0,1,0.859770114942528,1,B1
Ming Zhengde Yellow land blue and white dragon pattern bowl,71,Ming Zhengde,Christie's,Important Chinese Porcelain Crafts (I & II),2003 Autumn Art Auction,27/10/2003,Signed in regular script with two circles and two lines in four characters,https://auction.artron.net/paimai-art23170019,https://image.artron.net/wd/auction//31/art/705/b9ddfb3e925584cad1b5ef66e2b080fa.jpg,16,Bowl,Ming,662500,1254775,0,1,0,662500.0,2,0.0234482758620689,2,B2
Ming Wanli Yellow land blue and white dragon and phoenix pattern small bowl,77,Ming Wanli,Christie's,Important Chinese Porcelain Crafts (I & II),2003 Autumn Art Auction,27/10/2003,Signed in regular script with two circles and two lines in six characters,https://auction.artron.net/paimai-art23170015,https://image.artron.net/wd/auction//31/art/705/c1787011c04fb0aa0a644c25f3fcbd6d.jpg,8,Bowl,Ming,143100,126670,0,1,0,143100.0,1,0.175862068965517,4,B4
Qianlong alum red color flying dragon pattern Tianji button high foot bowl,87,Qing Qianlong,Christie's,Important Chinese Porcelain Crafts (I & II),2003 Autumn Art Auction,27/10/2003,Signed in seal script with six characters on both sides of the frame in alum-red,https://auction.artron.net/paimai-art23170039,https://image.artron.net/wd/auction//31/art/705/84c88b05c4a74b9295e2768184c44b8e.jpg,20,Bowl,Qing,742000,570015,0,1,0,742000.0,3,1.60788177339901,5,B5
Qing Yongzheng Yellow land green color baby play picture bowl,98,Qing Yongzheng,Christie's,Important Chinese Porcelain Crafts (I & II),2003 Autumn Art Auction,27/10/2003,Signed in regular script with two circles and two lines in six characters,https://auction.artron.net/paimai-art23170049,https://image.artron.net/wd/auction//31/art/705/37ee8a1189652c2428c4a9a83b94ee96.jpg,15,Bowl,Qing,185500,202672,0,1,0,185500.0,2,1.67372175980975,3,B3
Qing Yongzheng red three-fish pattern bowl in the glaze,101,Qing Yongzheng,Christie's,Important Chinese Porcelain Crafts (I & II),2003 Autumn Art Auction,27/10/2003,Signed in regular script with two circles and two lines in six characters,https://auction.artron.net/paimai-art23170075,https://image.artron.net/wd/auction//31/art/705/161547bd31ad4cca31e323a756ea403c.jpg,15,Bowl,Qing,143100,380010,0,1,0,143100.0,2,1.67372175980975,3,B3
"Qianlong of the Qing Dynasty, Doucai, lotus, pond, mandarin duck, patterned bowl",102,Qing Qianlong,Christie's,Important Chinese Porcelain Crafts (I & II),2003 Autumn Art Auction,27/10/2003,Six-character seal script mark,https://auction.artron.net/paimai-art23170070,https://image.artron.net/wd/auction//31/art/705/aad1e9e558f60c0dddd687bab41f2483.jpg,10,Bowl,Qing,84800,82336,0,1,0,84800.0,1,0.859770114942528,1,B1
Qing Yongzheng lemon yellow glazed petal-shaped bowl,117,Qing Yongzheng,Christie's,Important Chinese Porcelain Crafts (I & II),2003 Autumn Art Auction,27/10/2003,Signed in regular script with two circles and two lines in six characters,https://auction.artron.net/paimai-art23170102,https://image.artron.net/wd/auction//31/art/705/3bf10d126ea669b8ccf2f3d2e68a5fed.jpg,21,Bowl,Qing,1431000,1492215,0,1,0,1431000.0,3,1.60788177339901,5,B5
Qingyongzheng carmine glaze dark dragon bowl,118,Qing Yongzheng,Christie's,Important Chinese Porcelain Crafts (I & II),2003 Autumn Art Auction,27/10/2003,Signed in regular script on both sides of the frame in four characters,https://auction.artron.net/paimai-art23170100,https://image.artron.net/wd/auction//31/art/705/4b7f73d52cf4e17f3fb97a880ccc1a1c.jpg,10,Bowl,Qing,291500,696685,0,1,0,291500.0,1,0.859770114942528,1,B1
Qing Kangxi blue and white land green glaze double dragon play beaded bowl,126,Qing Kangxi,Christie's,"Spring Auction 2003 - Fine Art, Ceramics and Crafts from the Chinese Imperial Court",Spring Auction 2003,07/07/2003,,https://auction.artron.net/paimai-art20510074,https://image.artron.net/wd/auction//31/art/599/26d18b11deaed88c90b5f4af8ca861a3.jpg,14,Bowl,Qing,212000,190005,0,1,0,212000.0,2,1.67372175980975,3,B3
Qianlong Pastel leather ball pattern bowl,142,Qing Qianlong,Christie's,"Spring Auction 2003 - Fine Art, Ceramics and Crafts from the Chinese Imperial Court",Spring Auction 2003,07/07/2003,,https://auction.artron.net/paimai-art20510087,https://image.artron.net/wd/auction//31/art/599/4caf92ffa590f185c95e6e7ec93c3b35.jpg,13,Bowl,Qing,2650000,2441975,0,1,0,2650000.0,1,0.859770114942528,1,B1
Ming Wanli Blue and white eight immortals cross the sea bowl,144,Ming Wanli,Christie's,"Spring Auction 2003 - Fine Art, Ceramics and Crafts from the Chinese Imperial Court",Spring Auction 2003,07/07/2003,,https://auction.artron.net/paimai-art20510156,https://image.artron.net/wd/auction//31/art/599/86fc819ad00ea08360b847399534e63a.jpg,17,Bowl,Ming,53000,69668,0,1,0,53000.0,2,0.0234482758620689,2,B2
"Qianlong of the Qing Dynasty, blue and white eight immortals, crossing the sea chart bowl",154,Qing Qianlong,Christie's,"Spring Auction 2003 - Fine Art, Ceramics and Crafts from the Chinese Imperial Court",Spring Auction 2003,07/07/2003,,https://auction.artron.net/paimai-art20510157,https://image.artron.net/wd/auction//31/art/599/ddbeba74ffc7cdd274497dd5fc1cc74d.jpg,15,Bowl,Qing,53000,53201,0,1,0,53000.0,2,1.67372175980975,3,B3
Ming Yongle Sweet white glaze dark flower dragon cloud pattern high foot bowl,158,Ming Yongle,Christie's,"Spring Auction 2003 - Fine Art, Ceramics and Crafts from the Chinese Imperial Court",Spring Auction 2003,07/07/2003,,https://auction.artron.net/paimai-art20510148,https://image.artron.net/wd/auction//31/art/599/fe109ef14498d6a7fce72e6516e39a2a.jpg,14,Bowl,Ming,291500,316675,0,1,0,291500.0,2,0.0234482758620689,2,B2
Qing Kangxi Blue and white fruit branch flower bowl,164,Qing Kangxi,Christie's,"Spring Auction 2003 - Fine Art, Ceramics and Crafts from the Chinese Imperial Court",Spring Auction 2003,07/07/2003,,https://auction.artron.net/paimai-art20510173,https://image.artron.net/wd/auction//31/art/599/76b8ffd41fb68643befab6adf9ce9042.jpg,21,Bowl,Qing,37100,32934,0,1,0,37100.0,3,1.60788177339901,5,B5
Qianlong Qinglong Doucai five bats floral pattern bowl,167,Qing Qianlong,Christie's,"Spring Auction 2003 - Fine Art, Ceramics and Crafts from the Chinese Imperial Court",Spring Auction 2003,07/07/2003,,https://auction.artron.net/paimai-art20510178,https://image.artron.net/wd/auction//31/art/599/393ee9d02161684040445d0880ecf35f.jpg,24,Bowl,Qing,68900,63335,0,1,0,68900.0,3,1.60788177339901,5,B5
Qianlong Pink green glaze phoenix pattern rectangular bowl,169,Qing Qianlong,Christie's,"Spring Auction 2003 - Fine Art, Ceramics and Crafts from the Chinese Imperial Court",Spring Auction 2003,07/07/2003,,https://auction.artron.net/paimai-art20510183,https://image.artron.net/wd/auction//31/art/599/0d1e3890e6b062cda232a0aa61589c9c.jpg,18,Bowl,Qing,238500,228006,0,1,0,238500.0,2,1.67372175980975,3,B3
Qing Daoguang official kiln pastel over the wall flowers fruit bamboo pattern bowl a pair,181,Qing Daoguang,Christie's,"Spring Auction 2003 - Fine Art, Ceramics and Crafts from the Chinese Imperial Court",Spring Auction 2003,07/07/2003,,https://auction.artron.net/paimai-art20510201,https://image.artron.net/wd/auction//31/art/599/e8a5d8c74da55996dea652d6789c505f.jpg,11,Bowl,Qing,95400,120336,0,1,0,95400.0,1,0.859770114942528,1,B1
Ming Wanli colorful baby play picture square cover bowl,197,Ming Wanli,Christie's,Autumn Auction 2002 - Unique Insight: Important Chinese Art from the Mano Art Museum,Autumn Auction 2002,28/10/2002,,https://auction.artron.net/paimai-art18740053,https://image.artron.net/wd/auction//31/art/484/1c9672825214a5bdb7bc37ddde7691a5.jpg,14,Bowl,Ming,212000,380010,0,1,0,212000.0,2,0.0234482758620689,2,B2
Ming Jiajing Alum red ground green color double dragon pattern bowl,204,Ming Jiajing,Christie's,Autumn Auction 2002 - Unique Insight: Important Chinese Art from the Mano Art Museum,Autumn Auction 2002,28/10/2002,,https://auction.artron.net/paimai-art18740043,https://image.artron.net/wd/auction//31/art/484/1cd10871dda227edcc3c8243f5ef8de7.jpg,15,Bowl,Ming,265000,608016,0,1,0,265000.0,2,0.0234482758620689,2,B2
Ming Zhengde white glaze green color dragon pattern bowl,209,Ming Zhengde,Christie's,Autumn Auction 2002 - Unique Insight: Important Chinese Art from the Mano Art Museum,Autumn Auction 2002,28/10/2002,,https://auction.artron.net/paimai-art18740041,https://image.artron.net/wd/auction//31/art/484/3c66019dcabb9cacedba4ac79cd75685.jpg,16,Bowl,Ming,424000,696685,0,1,0,424000.0,2,0.0234482758620689,2,B2
Ming Jiajing Light sauce ground green color outer dragon and phoenix inner pine crane pattern bowl,210,Ming Jiajing,Christie's,Autumn Auction 2002 - Unique Insight: Important Chinese Art from the Mano Art Museum,Autumn Auction 2002,28/10/2002,,https://auction.artron.net/paimai-art18740042,https://image.artron.net/wd/auction//31/art/484/f70275637a7112cbf8ad56d305b3cbf8.jpg,15,Bowl,Ming,265000,253340,0,1,0,265000.0,2,0.0234482758620689,2,B2
Qing Yongzheng Enamel and flowers bowl,211,Qing Yongzheng,Christie's,Autumn Auction 2002 - Fine Chinese Ceramics and Crafts,Autumn Auction 2002,27/10/2002,,https://auction.artron.net/paimai-art18760026,https://image.artron.net/wd/auction//31/art/485/eb2b793965d1c3b6081cf84294fa74f5.jpg,10,Bowl,Qing,530000,696685,0,0,0,530000.0,1,0.859770114942528,1,B1
"Qingyongzheng blue ground enamel flowers """"long life and long spring"""" character bowl",212,Qing Yongzheng,Christie's,Autumn Auction 2002 - Fine Chinese Ceramics and Crafts,Autumn Auction 2002,27/10/2002,,https://auction.artron.net/paimai-art18760027,https://image.artron.net/wd/auction//31/art/485/b8409dc552b47a4c511f02c5a62fe5d6.jpg,12,Bowl,Qing,5300000,4276146,0,0,0,5300000.0,1,0.859770114942528,1,B1
Qingyongzheng Doucai Fan Pattern Pair bowl,216,Qing Yongzheng,Christie's,Autumn Auction 2002 - Fine Chinese Ceramics and Crafts,Autumn Auction 2002,27/10/2002,,https://auction.artron.net/paimai-art18760100,https://image.artron.net/wd/auction//31/art/485/39d797492b3168a5cffafc075b19460f.jpg,12,Bowl,Qing,954000,1011346,0,0,0,954000.0,1,0.859770114942528,1,B1
Ming Hongzhi/ZhengdeAlum red color five-fish bowl,221,Ming Hongzhi/Zhengde,Christie's,Autumn Auction 2002 - Fine Chinese Ceramics and Crafts,Autumn Auction 2002,27/10/2002,,https://auction.artron.net/paimai-art18760102,https://image.artron.net/wd/auction//31/art/485/a65a604b545e1b1218e975d268dc6685.jpg,16,Bowl,Ming,291500,304008,0,0,0,291500.0,2,0.0234482758620689,2,B2
Qianlong Qinglong Blue and Flower Eight Immortals Crossing the Sea Chart Pair bowl,229,Qing Qianlong,Christie's,Autumn Auction 2002 - Fine Chinese Ceramics and Crafts,Autumn Auction 2002,27/10/2002,,https://auction.artron.net/paimai-art18760121,https://image.artron.net/wd/auction//31/art/485/7102452b44cd458e605360aaaa435479.jpg,15,Bowl,Qing,132500,126670,0,0,0,132500.0,2,1.67372175980975,3,B3
Qianlong lemon yellow glazed bowl,240,Qing Qianlong,Christie's,Autumn Auction 2002 - Fine Chinese Ceramics and Crafts,Autumn Auction 2002,27/10/2002,,https://auction.artron.net/paimai-art18760130,https://image.artron.net/wd/auction//31/art/485/a57addbb2f2056b66954024590decc30.jpg,11,Bowl,Qing,212000,228006,0,0,0,212000.0,1,0.859770114942528,1,B1
Qing Jiaqing carmine pastel guarando pattern bowl,243,Qing Jiaqing,Christie's,Autumn Auction 2002 - Fine Chinese Ceramics and Crafts,Autumn Auction 2002,27/10/2002,,https://auction.artron.net/paimai-art18760154,https://image.artron.net/wd/auction//31/art/485/669d6ed5c9c62a1c74816f9d803e4bfd.jpg,11,Bowl,Qing,132500,101336,0,0,0,132500.0,1,0.859770114942528,1,B1
Qing Kangxi Colorful Dragon Pattern bowl,247,Qing Kangxi,Christie's,Autumn Auction 2002 - Fine Chinese Ceramics and Crafts,Autumn Auction 2002,27/10/2002,,https://auction.artron.net/paimai-art18760156,https://image.artron.net/wd/auction//31/art/485/64003576a80166ab8dcc499f1b80059c.jpg,14,Bowl,Qing,95400,164671,0,0,0,95400.0,2,1.67372175980975,3,B3
Qingyongzheng carmine pastel peony flower shallow Bowl,253,Qing Yongzheng,Christie's,"2002 Spring Sale - Chinese Imperial Court, Chinese Ceramics and Crafts",Spring Auction 2002,29/04/2002,,https://auction.artron.net/paimai-art17110563,https://image.artron.net/wd/auction//31/art/384/871b5fc1c0ea76fb9c5c6dbae53b2a25.jpg,12,Bowl,Qing,742000,1127946,0,0,0,742000.0,1,0.859770114942528,1,B1
Qing yongzheng Coral red land multicolored flower bowl,257,Qing Yongzheng,Christie's,"2002 Spring Sale - Chinese Imperial Court, Chinese Ceramics and Crafts",Spring Auction 2002,29/04/2002,,https://auction.artron.net/paimai-art17110565,https://image.artron.net/wd/auction//31/art/384/5599916ab01577b460409d49ceb9aaa6.jpg,15,Bowl,Qing,1113000,1594346,0,0,0,1113000.0,2,1.67372175980975,3,B3
Ming Yongle blue and white lotus petals curly grass pattern chicken heart bowl,260,Ming Yongle,Christie's,"2002 Spring Sale - Chinese Imperial Court, Chinese Ceramics and Crafts",Spring Auction 2002,29/04/2002,,https://auction.artron.net/paimai-art17110560,https://image.artron.net/wd/auction//31/art/384/53ee5e1aca9a432ef959634c1456ff77.jpg,10,Bowl,Ming,1113000,1244546,0,0,0,1113000.0,1,0.175862068965517,4,B4
Qingyongzheng pastel bee peony pattern bowl,261,Qing Yongzheng,Christie's,"2002 Spring Sale - Chinese Imperial Court, Chinese Ceramics and Crafts",Spring Auction 2002,29/04/2002,,https://auction.artron.net/paimai-art17110567,https://image.artron.net/wd/auction//31/art/384/333c870311e3e3fed5ba7a0adb5e9979.jpg,14,Bowl,Qing,1855000,3809746,0,0,0,1855000.0,2,1.67372175980975,3,B3
Qing Yongzheng official kiln dark flower carmine red glaze bowl,263,Qing Yongzheng,Christie's,"2002 Spring Sale - Chinese Imperial Court, Chinese Ceramics and Crafts",Spring Auction 2002,29/04/2002,,https://auction.artron.net/paimai-art17110564,https://image.artron.net/wd/auction//31/art/384/64df20f1d09c3714b83efa1bc8a566c4.jpg,10,Bowl,Qing,848000,709352,0,0,0,848000.0,1,0.859770114942528,1,B1
Ming Zhengde Yellow land blue and white dragon pattern bowl,267,Ming Zhengde,Christie's,"2002 Spring Sale - Chinese Imperial Court, Chinese Ceramics and Crafts",Spring Auction 2002,29/04/2002,,https://auction.artron.net/paimai-art17110612,https://image.artron.net/wd/auction//31/art/384/aa8fc7e0d7cd0d95588ce7af5640b7c0.jpg,16,Bowl,Ming,318000,481346,0,0,0,318000.0,2,0.0234482758620689,2,B2
Qingyongzheng Doucai floral butterfly pattern bowl,272,Qing Yongzheng,Christie's,"2002 Spring Sale - Chinese Imperial Court, Chinese Ceramics and Crafts",Spring Auction 2002,29/04/2002,,https://auction.artron.net/paimai-art17110621,https://image.artron.net/wd/auction//31/art/384/85b03f4d979fc51d9da644fb93ab4677.jpg,18,Bowl,Qing,530000,696685,0,0,0,530000.0,2,1.67372175980975,3,B3
Qing Kangxi Blue and white dragon play beaded bowl (pair),273,Qing Kangxi,Christie's,"2002 Spring Sale - Chinese Imperial Court, Chinese Ceramics and Crafts",Spring Auction 2002,29/04/2002,,https://auction.artron.net/paimai-art17110634,https://image.artron.net/wd/auction//31/art/384/e651f91dd1829536c393493886d662f1.jpg,13,Bowl,Qing,106000,88669,0,0,0,106000.0,1,0.859770114942528,1,B1
"Qing Kangxi Huangdi blue and flower """"Fushou"""" character double dragon pattern bowl",274,Qing Kangxi,Christie's,"2002 Spring Sale - Chinese Imperial Court, Chinese Ceramics and Crafts",Spring Auction 2002,29/04/2002,,https://auction.artron.net/paimai-art17110635,https://image.artron.net/wd/auction//31/art/384/5522b62bd8b404514aad62e8eaf90814.jpg,13,Bowl,Qing,63600,114003,0,0,0,63600.0,1,0.859770114942528,1,B1
Qianlong Blue and white double dragon play beaded pattern skimming bowl,276,Qing Qianlong,Christie's,"2002 Spring Sale - Chinese Imperial Court, Chinese Ceramics and Crafts",Spring Auction 2002,29/04/2002,,https://auction.artron.net/paimai-art17110628,https://image.artron.net/wd/auction//31/art/384/0b153073d93bab837e0b0fbaa120aaf4.jpg,14,Bowl,Qing,111300,101336,0,0,0,111300.0,2,1.67372175980975,3,B3
Qing Yongzheng Doucai Cloud Bat Pattern Bowl (pair),277,Qing Yongzheng,Christie's,"2002 Spring Sale - Chinese Imperial Court, Chinese Ceramics and Crafts",Spring Auction 2002,29/04/2002,,https://auction.artron.net/paimai-art17110619,https://image.artron.net/wd/auction//31/art/384/d995109f028ce26a4065906d867f1551.jpg,10,Bowl,Qing,424000,506680,0,0,0,424000.0,1,0.859770114942528,1,B1
Qing Daoguang Yellow land pastel open light landscape map bowl,282,Qing Daoguang,Christie's,"2002 Spring Sale - Chinese Imperial Court, Chinese Ceramics and Crafts",Spring Auction 2002,29/04/2002,,https://auction.artron.net/paimai-art17110647,https://image.artron.net/wd/auction//31/art/384/f566244a308569c34d16f2059430288a.jpg,15,Bowl,Qing,58300,63335,0,0,0,58300.0,2,1.67372175980975,3,B3
Qianlong Blue glaze bowl,289,Qing Qianlong,Christie's,"2002 Spring Sale - Chinese Imperial Court, Chinese Ceramics and Crafts",Spring Auction 2002,29/04/2002,,https://auction.artron.net/paimai-art17110652,https://image.artron.net/wd/auction//31/art/384/cfe454e65455349c0a16d629a1c27f54.jpg,18,Bowl,Qing,34450,63335,0,0,0,34450.0,2,1.67372175980975,3,B3
Qingyongzheng pink green glaze pier style bowl,297,Qing Yongzheng,Christie's,"2002 Spring Sale - Chinese Imperial Court, Chinese Ceramics and Crafts",Spring Auction 2002,29/04/2002,,https://auction.artron.net/paimai-art17110662,https://image.artron.net/wd/auction//31/art/384/0bbe1c54c3898bec0e4254471b2f49de.jpg,15,Bowl,Qing,212000,278674,0,0,0,212000.0,2,1.67372175980975,3,B3
Qing Kangxi Eggplant purple glaze bowl (pair),301,Qing Kangxi,Christie's,Autumn Auction 2001 - Important Chinese Crafts,Autumn Auction 2001,29/10/2001,Each bowl with deep闁挎稑顔憃unded sides rising to an everted rim闁挎稑鐣眔vered inside and out with a glossy aubergine-glaze of rich and deep tone pooling on the foot rim,https://auction.artron.net/paimai-art16470792,https://image.artron.net/wd/auction//31/art/275/735035f30d4bb3b05b90a3fc477389f2.jpg,13,Bowl,Qing,477000,435925,0,0,0,477000.0,1,0.859770114942528,1,B1
Qing Kangxi Blue and white dragon play beaded bowl (pair),309,Qing Kangxi,Christie's,Autumn Auction 2001 - Important Chinese Crafts,Autumn Auction 2001,29/10/2001,The exterior finely painted with three pairs of scaly five-clawed dragons leaping amidst flaming pearls above a band of cresting waves and rocks encircling the ring foot闁挎稑顔揾e interior with a central shou medallion encircled by ruyi-shaped motifs,https://auction.artron.net/paimai-art16470819,https://image.artron.net/wd/auction//31/art/275/f86ee535469bc6e0ec677f4ca4a72d39.jpg,16,Bowl,Qing,63600,56048,0,0,0,63600.0,2,1.67372175980975,3,B3
Qing 18th century Green glaze bowl,322,"Qing Dynasty, 18th century",Christie's,Autumn Auction 2001 - Important Chinese Crafts,Autumn Auction 2001,29/10/2001,Finely potted闁挎稑顔揾e sides of the bowl rise at an angle to a widely flaring rim闁挎稑顔揾e shallow domed cover surmounted by a circular knop finial inscribed against the white ground with the four-character hallmark闁挎稑鐡癷ngwei Tang Zhi闁挎稑澶囧顩噇l of Respectful Awe闁炽儲鐟辩槐婕磂peated on the base of the bowl闁挎稑鐣皁th the bowl and cover applied with a pale celadon glaze,https://auction.artron.net/paimai-art16470831,https://image.artron.net/wd/auction//31/art/275/a90cc0bfd83d03882cb32b0601ec81a2.jpg,13,Bowl,Qing,74200,105868,0,0,0,74200.0,1,0.859770114942528,1,B1
Ming Zhengde Yellow glaze bowl,323,Ming Zhengde,Christie's,Autumn Auction 2001 - Important Chinese Crafts,Autumn Auction 2001,29/10/2001,Potted with rounded sides rising from a tapered foot to a flaring rim闁挎稑鐣眔vered with a rich egg-yolk yellow glaze 闁挎稑婢乮m hairlines闁,https://auction.artron.net/paimai-art16470825,https://image.artron.net/wd/auction//31/art/275/1292d84fa9ae8aa1a6e1696f41d048ad.jpg,18,Bowl,Ming,15900,43592,0,0,0,15900.0,2,0.0234482758620689,2,B2
Qianlong Qingqianlong white glaze flowered entangled passion fruit tall bowl,325,Qing Qianlong,Christie's,Autumn Auction 2001 - Important Chinese Crafts,Autumn Auction 2001,29/10/2001,The wide bowl with slightly flaring rim resting on a spreading foot闁挎稑顔揾e interior闁挎稑鐣秞terior and stem foot incised with an undulating Ming-style Indian-lotus scroll闁挎稑鐣眔vered overall with a white glaze pooling to a greenish tint in the decoration,https://auction.artron.net/paimai-art16470838,https://image.artron.net/wd/auction//31/art/275/d6820bd80e12acce192f5bcfff85a2bd.jpg,15,Bowl,Qing,143100,149460,0,0,0,143100.0,2,1.67372175980975,3,B3
